,Human Longitude,Human Latitude,Human Acres Burned
8590,-124.21944,43.43417,0.01
14809,-124.21917,43.26917,0.25
4609,-124.21917,42.11733,0.11
323,-124.21899,43.50393,0.1
17071,-124.21861,43.51111,0.02
13088,-124.21861,42.33333,0.05
3335,-124.21856,43.48598,0.5
12804,-124.21833,43.35222,0.01
5866,-124.21819,43.50217,0.01
2614,-124.2181,43.45379,0.03
6427,-124.21806,43.53417,0.01
6778,-124.21806,43.25306,0.01
16410,-124.21775,43.51142,0.01
6868,-124.21722,43.35194,0.01
14657,-124.21611,43.52667,0.02
16039,-124.21583,43.52333,0.01
16870,-124.21583,43.52611,0.01
3435,-124.21558,43.44719,0.1
416,-124.21556,43.53636,0.03
14205,-124.21556,42.12611,0.07
7586,-124.21556,43.50639,0.01
15099,-124.21528,43.50389,0.01
17107,-124.215,43.53667,0.01
9898,-124.215,43.32,0.01
11009,-124.21472,43.48306,0.01
2689,-124.2147,43.51837,0.5
2857,-124.2147,43.51837,0.01
11728,-124.21444,43.47389,0.01
2376,-124.21443,42.06443,0.04
4441,-124.21427,42.07548,0.25
8213,-124.21417,42.00444,0.1
16147,-124.21417,42.00472,0.13
3063,-124.21401,43.47901,0.25
7612,-124.21389,42.00389,0.01
10330,-124.21361,43.3525,0.01
130,-124.2134,42.00574,0.1
6559,-124.21333,42.00389,0.01
10105,-124.21306,42.55583,40.0
14608,-124.21278,43.5375,0.01
12275,-124.2125,42.07028,0.02
9862,-124.21194,43.49056,0.01
14721,-124.21189,43.25825,0.01
4242,-124.21183,43.3525,0.01
10117,-124.21167,42.54167,163.0
10928,-124.21167,43.55,0.1
16385,-124.21167,43.51583,0.01
2782,-124.21114,43.35325,0.01
1692,-124.21084,42.00672,0.08
7508,-124.21083,43.5325,0.01
10623,-124.21,43.29972,0.01
6498,-124.21,43.26,0.01
14080,-124.21,43.25556,0.5
1563,-124.20991,43.52567,0.06
12702,-124.20972,43.17306,0.01
11663,-124.20972,43.32639,0.01
11472,-124.20972,43.25306,0.25
12747,-124.20917,43.66056,0.01
10786,-124.20917,43.14722,0.01
6083,-124.20917,43.355,0.01
14599,-124.20916,43.66097,0.01
15790,-124.20889,43.66083,0.02
11738,-124.20861,43.66056,0.06
6960,-124.20861,43.66028,0.01
15459,-124.20861,43.35556,0.03
